name	type	purchase_stage	purchase_amount	purchase_volume	last_purchase_date	consult_count
창원중독관리통합지원센터	전문기관	파트너	27400000	38000	2025-11-24	30
강남구보건소 금연클리닉	보건소	파트너	15111600	11487	2025-05-19	92
경주시보건소	보건소	파트너	12630000	7502	2026-03-17	36
울주군보건소	보건소	파트너	10500000	4603	2025-08-07	58
함양군보건소	보건소	COLD	10280000	9012	2023-10-25	47
태평서울병원	산업보건	COLD	10000000	24000	2024-04-11	2
부산중독관리통합지원센터	전문기관	재구매	9051000	7310	2025-12-17	6
한국기술교육대학교	초중고	파트너	8040000	6120	2026-02-11	7
광진구보건소	보건소	파트너	7885000	12560	2025-12-18	32
대전광역정신건강복지센터	전문기관	구매	7500000	8102	2025-11-24	1
전북대학교 소방공무원 심리지원센터	초중고	구매	7300000	4000	2025-09-05	4
창원시중독관리통합지원센터	전문기관	COLD	6300000	9000	2024-12-23	11
울산 남구보건소	보건소	COLD	5880000	2301	2024-09-06	40
강북구보건소	보건소	재구매	5730000	5142	2025-11-24	41
마포구보건소	보건소	파트너	5499600	4272	2025-09-26	28
아산시보건소	보건소	구매	5405000	2700	2025-11-20	36
사천시보건소	보건소	구매	5355000	2550	2025-09-11	35
국립부곡병원	광역시도 및 중앙기관	구매	4930000	2500	2025-08-27	10
서울금연지원센터	금연지원센터	재구매	4750000	2000	2025-08-05	7
영동군보건소	보건소	구매	4710000	3000	2025-07-29	15
인천동구중독관리통합지원센터	전문기관	COLD	4560000	4014	2024-12-05	4
동대문구보건소	보건소	재구매	4220000	2706	2026-03-25	44
대구북구보건소	보건소	구매	4200000	2000	2025-09-30	19
송파구보건소	보건소	구매	4200000	1500	2026-03-05	8
서대문구보건소	보건소	구매	4200000	2000	2025-09-02	61
성동구보건소	보건소	구매	4170000	2102	2025-11-20	57
대구남구보건소	보건소	COLD	4125000	3902	2024-11-01	26
통영시보건소	보건소	재구매	4102000	2132	2025-12-15	63
태백시보건소	보건소	COLD	4074000	1966	2024-07-05	13
김해시보건소	보건소	구매	4039300	1734	2025-11-04	46
횡성군보건소	보건소	파트너	3985000	2856	2026-02-03	24
군위군보건소	보건소	구매	3975000	1752	2025-12-19	6
중독관리통합지원센터	전문기관	COLD	3925000	3000	2023-11-16	8
예산군보건소	보건소	COLD	3924000	3600	2024-09-05	18
동해시정신건강복지센터	전문기관	구매	3900000	1800	2025-11-20	13
대구한의대학교	전공교육	구매	3797600	4090	Tue May 13 2025 00:00:00 GMT+0900 (한국 표준시)	1
우산건강생활지원센터	보건소	구매	3768000	2410	2025-11-24	8
서초구보건소	보건소	파트너	3690000	3266	2025-11-03	51
삼척시정신건강복지센터	전문기관	파트너	3617020	2002	2025-12-23	5
서울시통합건강증진사업단	광역시도 및 중앙기관	COLD	3610500	3735	2024-09-30	0
화천군보건의료원	보건소	COLD	3560000	2000	2022-10-07	43
정신건강복지센터	전문기관	구매	3450300	2786	2026-02-04	7
여수시보건소	보건소	구매	3285000	1800	2025-12-01	24
전북대학교	대학보건센터	구매	3200000	4000	Fri Sep 05 2025 00:00:00 GMT+0900 (한국 표준시)	0
성동구고혈압당뇨병등록교육센터	보건소	구매	3196400	2344	2026-03-25	0
